QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QST0120,E02,Learning Records Spine,SUP,Support & Service Engineer,L2 Mid,Month 1,Failure mode,How do you tell whether learning events are lost or merely queued on a device that has not reconnected?,Declaring data loss when the events are queued triggers an unnecessary escalation and a false statement to the customer.,Architecture Review Report §H.2 (late arrivals); §Q.1,Undocumented — no answer exists,E02 late-arrival and received-timestamp policy,-,Is device queue depth reported? / Is there a last-seen per device? / What is the supported offline window?,"Distinguishes queued, in-flight and lost using named observables",,,,,
QST0140,E02,Learning Records Spine,SUP,Support & Service Engineer,L2 Mid,Month 1,Emergent,"If events can arrive months late, how does support answer a customer who asks whether a report is final?",Declaring a report final before the late window closes means the customer acts on numbers that will change.,Architecture Review Report §H.2 (late arrivals),Undocumented — no answer exists,E02 late-arrival window policy,QST0120,Is there a declared late window? / Are reports versioned? / Is the pending backlog shown?,Names a late-arrival window and how a report discloses pending data,,,,,
QPF0047,E02,Learning Records Spine,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,How does a support engineer tell the difference between events that are lost and events that are merely delayed?,Answering wrongly either triggers a needless data-recovery exercise or lets real loss go unreported until an audit finds it.,Architecture Review Report §D-M3 (no ingest-lag metric),Undocumented — no answer exists,PLT-06.x observability stack,-,Is there an ingest-lag metric? / Is queue depth visible? / What is the escalation threshold?,Names the two signals that separate lag from loss,,,,,
QST0145,E02,Learning Records Spine,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,How would you detect silent event loss at a site that reports no errors?,"Silent loss produces quietly incomplete competency records, which are discovered at certification and cannot be reconstructed.",Architecture Review Report §H.3; Master Checklist v3 (TST-04.x),Undocumented — no answer exists,E02 reconciliation counts and checksums,-,Are source counts compared? / Is there a per-site expected volume? / What is the alert?,Names a count or checksum reconciliation rather than error-log absence,,,,,
QST0153,E02,Learning Records Spine,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Data,How do you distinguish a duplicated-event problem from a genuine second attempt by the same learner?,Deleting a real second attempt as a duplicate destroys evidence; keeping a duplicate inflates competency roll-ups.,Architecture Review Report §H.3,Undocumented — no answer exists,E02 idempotency key definition,-,Is there a statement UUID? / Is attempt number recorded? / Who may delete an event?,Uses the idempotency key and attempt identity rather than timing heuristics,,,,,
QST0158,E02,Learning Records Spine,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Data,How do you prove to a customer that no learning record was lost during a platform outage?,"Asserting completeness without evidence is a claim the customer will test, and being wrong once ends the trust.",Architecture Review Report §H.3; Master Checklist v3 (TST-04.1.05),Undocumented — no answer exists,E02 reconciliation evidence,-,What counts are compared? / Over what window? / Who signs the statement?,Produces a reconciliation with named source and target counts,,,,,
QST0165,E02,Learning Records Spine,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Emergent,"If loss detection depends on comparing counts, who produces the expected count for a disconnected site?",Without an independent expected count the reconciliation compares the system to itself and can never detect loss.,Architecture Review Report §H.3,Undocumented — no answer exists,E02 independent source counts,QST0145,Is there a device-side counter? / Is it signed? / Who reconciles it?,"Names an independent, device-side or origin-side counter",,,,,
QPF0054,E03,LMS & Course-Site Integration,BE,Back-End Developer,L1 Junior,Day 1,Orientation,"What is Deep Linking used for in EdVidura, and who initiates it?",A developer who confuses deep linking with a plain URL will build content selection that a teacher cannot place in a course.,Product Plan v2 (M7); 1EdTech Deep Linking spec,Partially documented,COR-02.x core launch flow,-,What is returned to the LMS? / Can a learner deep link? / How does the link survive a course copy?,Names the teacher-initiated content-selection flow and the returned payload,,,,,
QPF0055,E03,LMS & Course-Site Integration,BE,Back-End Developer,L1 Junior,Day 1,Standards,"What is NRPS, and what does EdVidura use it for?",Without knowing the roster service a developer will ask teachers to re-enter class lists that the course site already holds.,1EdTech NRPS spec; Product Plan v2 (M7),Partially documented,COR-02.x roster retrieval,-,Which fields does it return? / Is it pulled or pushed? / Who else in EdVidura claims to sync rosters?,Names the Names and Role Provisioning Service and the EdVidura consumer,,,,,
QPF0059,E03,LMS & Course-Site Integration,BE,Back-End Developer,L2 Mid,Week 1,Interface/Contract,"Does Deep Linking save the shared content data on the LMS servers, or only a reference back to EdVidura?","If a customer believes their LMS holds the content, they will assume they can keep it after the contract ends, and the data-rights position is wrong on both sides.",Product Plan v2 (M5 clean separation); 1EdTech Deep Linking spec,Partially documented,COR-02.x deep linking,-,What exactly is stored in the LMS? / What happens to the link if the tenant is deleted? / Who owns the content on exit?,Distinguishes a stored reference from stored content and states the exit consequence,,,,,
QPF0061,E03,LMS & Course-Site Integration,BE,Back-End Developer,L2 Mid,Week 1,Failure mode,"A learner submits a quiz, the score is stored, the xAPI statement is sent, the grade is passed back and the dashboard updates — what happens if only the first three succeed?","This is the platform's canonical partial failure: the learner sees submitted, the gradebook shows nothing, and the teacher marks the learner zero.",Architecture Review Report §F Scenario 3,Undocumented — no answer exists,COR-03.x AGS passback service,-,Who is told? / Is there a retry queue? / Which value is authoritative meanwhile?,"Names the divergent state, the detection gap and the intended recovery",,,,,
QPF0062,E03,LMS & Course-Site Integration,BE,Back-End Developer,L2 Mid,Week 1,Emergent,"When EdVidura's stored score and the LMS gradebook disagree, which one is the source of truth?","Two systems hold the grade with no declared authority, so a disputed mark has two defensible answers and no way to settle it.","Architecture Review Report §H.1 [CONTRADICTED], §H.4",Undocumented — no answer exists,COR-03.x grade reconciliation,QPF0061,Is the gradebook a projection? / What does the teacher see? / Can a teacher override and does that write back?,Declares one authority and describes the other as a synchronised projection,,,,,
QPF0064,E03,LMS & Course-Site Integration,BE,Back-End Developer,L2 Mid,Week 1,Security,How does EdVidura stop the same LTI launch message being replayed a second time?,Without a nonce store a captured launch can be replayed to act as that teacher or learner for as long as the message is valid.,Architecture Review Report §G.2 AS-3 (no nonce store defined),Undocumented — no answer exists,COR-02.x core launch flow,-,Where does the nonce live? / What is the accepted clock skew? / Is deployment id bound to issuer?,"Names the nonce store, its TTL and the binding checks",,,,,
QPF0068,E03,LMS & Course-Site Integration,BE,Back-End Developer,L3 Senior,Month 1,Failure mode,The LMS grade endpoint returns errors for an hour during a submission peak — what state is the system in when it recovers?,"Without idempotent passback keyed on the attempt, recovery double-posts grades; without a queue, the scores are simply gone.",Architecture Review Report §F Scenario 3 validation test,Undocumented — no answer exists,COR-03.x AGS passback service,-,Is the passback queued and signed? / What is the max-attempt policy? / Where do dead letters surface?,"Describes the queue, the idempotency key and the operator-visible residue",,,,,
QPF0074,E03,LMS & Course-Site Integration,BE,Back-End Developer,L4 Architect,Quarter 1,Trade-off,Build a custom LTI 1.3 library or adopt a maintained one — which choice does EdVidura regret more in eighteen months?,"The review recommends reversing the build default; the custom library carries JWT, nonce, rotation and AGS token burden that nobody has staffed.",Architecture Review Report §D-M7 required changes; §G.2 AS-3,Partially documented,COR-01.x library adoption decision,-,Who maintains the custom code when the author leaves? / Does a library survive the enclave build? / What does certification cost either way?,"Weighs security burden, certification cost and maintenance ownership",,,,,
QPF0285,E03,LMS & Course-Site Integration,BI,BI / Analytics Developer (Metabase),L3 Senior,Month 1,Emergent,"While a grade passback is pending, which number should a management dashboard show for that learner?","Showing the authoritative score makes the dashboard disagree with the gradebook the teacher is looking at, and showing nothing hides real work.",Architecture Review Report §H.4 invariants,Undocumented — no answer exists,COR-03.x grade reconciliation,QPF0062,Is there a pending state in the data model? / Is it visible to the teacher? / How long may it persist?,Names the pending state and how it is represented downstream,,,,,
QPF0065,E03,LMS & Course-Site Integration,DE,Data Engineer,L2 Mid,Month 1,Emergent,Which roster source wins when the course connector and the content module both claim to synchronise class membership?,"Two modules claim roster sync with no owner, so a learner can be enrolled in one view and absent in the other with no error anywhere.","Architecture Review Report §D-M7, §D-M9 [CONTRADICTED]",Undocumented — no answer exists,COR-02.x roster retrieval,QPF0055,Which module owns the roster? / How often is it refreshed? / What happens to a learner removed in the LMS?,Names one owner and makes the other a read-only consumer,,,,,
QPF0057,E03,LMS & Course-Site Integration,DEVOPS,DevSecOps / Platform Engineer,L1 Junior,Week 1,Mechanism,Where is the tool's public key set published so that the LMS can verify EdVidura's messages?,"If key publication is not understood, a routine rotation breaks every grade passback in every customer site at once.",1EdTech LTI 1.3 security framework; Master Checklist v3 COR-01,Partially documented,COR-01.x launch and claims contract,-,Is it a static key or a JWKS endpoint? / Who rotates it? / How does an offline LMS fetch it?,Names the JWKS endpoint and the registration that points at it,,,,,
QPF0070,E03,LMS & Course-Site Integration,DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Emergent,A customer upgrades their Moodle over a weekend and launches break on Monday — what should have caught this before it reached learners?,"Nobody owns LMS upgrades today, so a customer-side change silently takes down grade passback with no canary and no rollback.",Architecture Review Report §D-M5 (unowned LMS upgrades),Undocumented — no answer exists,COR-04.x LMS certification,QPF0056,"Is there an upgrade canary environment? / Is the customer contractually required to notify? / What is the rollback for them, not us?","Names the canary, the notification obligation and the containment path",,,,,
QPF0076,E03,LMS & Course-Site Integration,DEVOPS,DevSecOps / Platform Engineer,L4 Architect,Quarter 1,Cost,Stock Moodle multi-tenancy is weak — what does instance-per-tenant cost EdVidura once there are twenty customers?,"Assuming multi-tenancy can be added incrementally hides a hosting, upgrade and LTI-registration cost that appears only after the commercial model is fixed.",Architecture Review Report §D-M5 (multi-tenant retrofit P1),Undocumented — no answer exists,FND-14.x M5 tenancy and site build,-,How many registrations per tenant? / Who patches twenty Moodles? / What does the enclave variant cost?,Gives a per-tenant operating cost and the upgrade labour model,,,,,
QPF0053,E03,LMS & Course-Site Integration,FE,Front-End Developer,L1 Junior,Day 1,Orientation,"What is an LTI 1.3 launch, and what does the EdVidura tool receive at the moment a learner clicks a link in Moodle?",A front-end developer who does not know what arrives in the launch will invent an authentication flow that the course site can never satisfy.,Product Plan v2 (M7); 1EdTech LTI 1.3 spec,Partially documented,COR-01.x launch and claims contract,-,Which claims arrive? / Which of them are trustworthy? / Where does the tool store the launch context?,Describes the signed launch and names the claims the tool actually consumes,,,,,
QPF0060,E03,LMS & Course-Site Integration,FE,Front-End Developer,L2 Mid,Week 1,Security,"Which claims in an LTI launch may a front-end trust for authorisation, and which must be re-verified server-side?",Trusting a launch-supplied role in the browser lets a learner open a teacher view by editing a request.,Architecture Review Report §G.1 (tampered launch claims); Master Checklist v3 COR-01,Undocumented — no answer exists,COR-01.x launch and claims contract,-,Where is the claims allowlist? / What happens to an unrecognised role value? / Is the launch context persisted?,Separates display use from authorisation use and names the server-side check,,,,,
QPF0073,E03,LMS & Course-Site Integration,FE,Front-End Developer,L3 Senior,Month 1,Failure mode,"How would you prove that the tool behaves correctly inside an LMS iframe with third-party cookies disabled, on a browser you do not control?","The failure is environment-dependent and invisible in our own test browsers, so it reaches customers before it reaches the test report.",Architecture Review Report §D-M7 (browser reality); Master Checklist v3 TST-20,Undocumented — no answer exists,TST-20.x M7 course connector test deltas,-,Which browser matrix is committed? / Is there a synthetic launch probe? / What is the degraded experience?,"Names the matrix, the probe and the fallback the learner sees",,,,,
QTU0001,E03,LMS & Course-Site Integration,FE,Front-End Developer,L3 Senior,Week 1,Failure mode,A learner launches the quiz tool from Moodle and lands on a blank frame - how do you tell a blocked third-party cookie apart from a failed token exchange or a missing roster claim?,Misreading a browser storage failure as an identity fault sends a front-end developer chasing Keycloak for days while every learner on that browser build stays locked out of assessment.,Architecture Review Report §D-M7 (browser reality ignored); Front-End Lead,Partially documented,FND-04.x LTI 1.3 launch and session establishment,-,What does the tool log at the instant the frame goes blank? / Can support reproduce it without the learner's device? / Which browser versions are on the campus standard build?,Separates the storage-partition symptom from the identity symptom and names the log line or network call that distinguishes them,,,,,
QTU0002,E03,LMS & Course-Site Integration,FE,Front-End Developer,L3 Senior,Month 1,Emergent,"What is the blast radius inside the LMS page when a learner dismisses the Storage Access prompt, and what can the tool still legitimately do afterwards?","Treating a dismissed prompt as a terminal failure throws away a session a top-level redirect could still have recovered, and the learner loses the attempt.",Architecture Review Report §D-M7; Front-End Lead,Undocumented — no answer exists,FND-04.x LTI 1.3 launch and session establishment,QTU0013,Is the dismissal remembered by the browser for later launches? / Does the fallback path change which claims we can trust? / What does the learner see while we retry?,Describes the degraded but usable state and the point at which the tool must stop pretending it has a session,,,,,
QTU0013,E03,LMS & Course-Site Integration,FE,Front-End Developer,L4 Architect,Month 1,Trade-off,"Should every EdVidura tool establish a first-party session by top-level redirect on launch, or attempt the Storage Access API first?","The choice decides whether every learner sees an extra redirect on every launch or a silent failure on some browsers, and it is compiled into the launch code of every tool we ship.",None - undocumented; Architecture Review Report §D-M7 records no session-establishment strategy,Undocumented — no answer exists,FND-04.x LTI 1.3 launch and session establishment,-,Which option survives a browser that removes the prompt entirely? / Does the redirect break LMS deep links? / Who owns this decision across all sixteen tools?,"Picks one path, names what it costs the learner, and states the trigger that would force the other",,,,,
QPF0075,E03,LMS & Course-Site Integration,PM,Project / Delivery Manager,L4 Architect,Month 1,Governance/Process,"Who operates the LMS in each customer engagement, and what does the answer change about EdVidura's support scope?",The review found LMS ownership unowned; the same defect is our incident or the customer's depending on an answer nobody has written.,Architecture Review Report §D-M5 (who operates the LMS is unowned),Undocumented — no answer exists,FND-15.x M5 operations policy,-,Who holds the LTI registration keys? / Who schedules upgrades? / What is in the support contract?,Names the operating party per engagement and the resulting support boundary,,,,,
QPF0078,E03,LMS & Course-Site Integration,PRODM,Product Manager,L4 Architect,Month 1,Emergent,"What do we tell a buyer whose LMS is Canvas rather than Moodle, given no Canvas evidence exists today?",Promising LMS neutrality without a tested matrix creates an acceptance dispute at the first Canvas deployment.,Architecture Review Report §D-M5 (LMS version matrix absent),Undocumented — no answer exists,COR-04.x LMS certification,QPF0056,What actually differs between Canvas and Moodle here? / What would a Canvas pilot cost? / What words are safe in a proposal?,States the tested surface honestly and the cost of extending it,,,,,
QPF0056,E03,LMS & Course-Site Integration,QA,QA / Test Engineer,L1 Junior,Week 1,Orientation,"Which LMS products and versions is EdVidura committed to supporting, and where is that matrix recorded?","A tester certifying against an unstated version list gives false assurance, and a customer Moodle upgrade breaks launches with no gate to catch it.",Architecture Review Report §D-M5 (version matrix absent),Undocumented — no answer exists,COR-04.x LMS certification,-,Is there a minimum certified configuration? / Who runs the upgrade canary? / Is Canvas in scope at all?,Names the matrix document or reports that none exists,,,,,
QPF0066,E03,LMS & Course-Site Integration,QA,QA / Test Engineer,L2 Mid,Week 1,Interface/Contract,"How does a tester reproduce an LTI launch outside a real LMS, and what does that harness fail to reproduce?",A harness that skips the browser's framing and cookie behaviour passes every test while the real product is blank in production.,Master Checklist v3 TST-20 (M7 test deltas),Partially documented,TST-20.x M7 course connector test deltas,-,Does the harness sign real JWTs? / Does it run in an iframe? / Which LMS quirks are not modelled?,Names the harness and the specific fidelity gaps,,,,,
QST0207,E03,LMS & Course-Site Integration,QA,QA / Test Engineer,L2 Mid,Month 1,Standards,How do you run a screen-reader journey through a quiz embedded in a course-site iframe?,"The iframe is the known accessibility failure point, and testing the quiz standalone proves nothing about the real journey.",Architecture Review Report §J.4 accessibility plan item 1,Partially documented,E03 accessibility of embedded launch,-,Which reader and browser pairs? / Is focus management tested? / Who signs it off?,Runs the journey inside the host rather than in isolation and names the reader pairs,,,,,
QPF0071,E03,LMS & Course-Site Integration,QA,QA / Test Engineer,L3 Senior,Month 1,Failure mode,A teacher copies a course containing EdVidura deep links into a new term — what must be true for those links to resolve safely?,A copied link that still points at the original tenant's content is a cross-tenant content leak created by a routine teacher action.,Architecture Review Report §D-M5 tests (course-copy test),Undocumented — no answer exists,COR-02.x deep linking,-,Is the resource id tenant-scoped? / Does the copy re-run deep linking? / What does a broken copy show the learner?,States the re-binding rule and the failure the learner sees,,,,,
QPF0067,E03,LMS & Course-Site Integration,SDET,Test Architect / SDET,L3 Senior,Month 1,Standards,"Which conformance suite proves the LTI implementation is correct, and what does passing it still not prove?","The review flagged a custom LTI library with no certification plan; conformance covers protocol shape, not replay defence or tenant scoping.",Architecture Review Report §D-M7 required changes; Master Checklist v3 COR-04,Partially documented,COR-04.x LMS certification,-,Is 1EdTech certification budgeted? / What does the suite omit? / Who runs the external security review?,"Names the suite, the certification owner and the residual security work",,,,,
QPF0063,E03,LMS & Course-Site Integration,SEC,Security Engineer,L2 Mid,Week 1,Security,What happens if an external application asks EdVidura for a file it should not be allowed to see?,"Read authorisation sits at the single door but the permission model behind it is undefined, so the honest answer today may be that the file is returned.",Product Plan v2 (M3 block access); Architecture Review Report §D-M3 (authorisation semantics undefined),Partially documented,FND-10.x M3 security,-,Is the denial audited? / Does the caller learn the file exists? / Is the check tenant-aware or role-aware or both?,"Names the enforcement point, the response and the audit record",,,,,
QPF0069,E03,LMS & Course-Site Integration,SEC,Security Engineer,L3 Senior,Month 1,Security,What is the blast radius of a flaw in the custom LTI validation code — how far can a forged launch reach?,"A nonce-reuse or deployment-id confusion bug lets an attacker act as any teacher in any tenant, which is the platform's highest-impact single defect.",Architecture Review Report §D-M7 P0 risk; §G.2 AS-3,Documented,COR-04.x launch-path security review,-,Which tools inherit the launch identity? / Would the forgery be visible in any log? / What is the containment step?,Traces the forged identity through every downstream tool,,,,,
QPF0077,E03,LMS & Course-Site Integration,SEC,Security Engineer,L4 Architect,Quarter 1,Trade-off,"If a customer refuses to let EdVidura hold their gradebook data at all, what remains of the integration?","An Indian defence or public-sector buyer may prohibit grade storage outside their boundary, and the answer decides whether the product is sellable there.",Architecture Review Report §H.4; Client SME,Undocumented — no answer exists,COR-03.x grade reconciliation,-,Can reconciliation work without storing the score? / What happens to appeal evidence? / Does the LRS still receive the event?,Separates transport from storage and states what is lost,,,,,
QPF0058,E03,LMS & Course-Site Integration,SUP,Support & Service Engineer,L1 Junior,Week 1,Orientation,A teacher says the EdVidura activity shows a blank frame — what are the first two things a support engineer asks them?,"Blank-frame incidents are usually cookie or framing policy, and misrouting them to engineering burns days per ticket.",Architecture Review Report §D-M7 (browser reality),Tribal knowledge only,COR-05.x observability and handoff,-,Which browser and version? / Is the tool in an iframe or a new tab? / Is there a launch id to search on?,Names browser and framing as the first hypotheses and a correlation id to collect,,,,,
QST0122,E03,LMS & Course-Site Integration,SUP,Support & Service Engineer,L2 Mid,Month 1,Mechanism,What happens between a learner pressing submit on a quiz and a mark appearing in the course gradebook?,Without the sequence a support engineer cannot tell the customer which hop failed and the ticket bounces between teams.,"Architecture Review Report §H.4; Product Plan v2 (M7, M8)",Partially documented,E03 grade passback path,-,Where can it fail silently? / Is the learner told? / What does the teacher see?,"Traces submit, score store, passback and gradebook write with failure points",,,,,
QST0131,E03,LMS & Course-Site Integration,SUP,Support & Service Engineer,L2 Mid,Month 1,Mechanism,"When a grade passback fails, what is the sequence: retry, escalate, or manual correction?",A manual correction applied before the retry completes creates two grades and a dispute that is hard to unwind.,Architecture Review Report §H.4 (invariant I4),Undocumented — no answer exists,E02 grade reconciliation service,-,Is there a retry queue? / Who may correct manually? / Is the correction audited?,Orders retry before manual action and names who may correct,,,,,
QPF0072,E03,LMS & Course-Site Integration,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,"What is the first diagnostic for a missing grade in the LMS gradebook, and which record proves whether EdVidura ever sent it?","Without a per-attempt passback audit the support engineer cannot show the customer whose side failed, and every dispute becomes a goodwill credit.",Architecture Review Report §F Scenario 3 (no audit record links submission to passback),Undocumented — no answer exists,COR-05.x observability and handoff,-,Is the passback payload persisted? / Is there a delivery-status panel for teachers? / How long is it retained?,"Names the record that links submission, statement id and passback attempt",,,,,
QAI0130,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L1 Junior,Day 1,Orientation,What is quantisation and why does it decide what EdVidura can promise in an enclave?,An engineer who benchmarks a full-precision model has measured a configuration the customer will never run.,Architecture Review Report SS I.1-6; Master Checklist v3 (AIA-02.1.05),Partially documented,AIA-02.1.05 quantisation quality-loss measurement,-,How much quality is lost? / Is the loss language-dependent?,Defines quantisation and links it to the measured quality delta and VRAM budget,,,,,
QTU0082,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L1 Junior,Day 1,Orientation,"What is the shared local inference platform, and which EdVidura products call it rather than running their own model?",A product that stands up its own inference stack doubles the GPU footprint at a site and escapes every evaluation gate the shared platform enforces.,Product Plan v2 (E04); Architecture Review Report §D-M14,Partially documented,AIA-03.x shared inference platform,-,What is the interface to it? / Who operates the GPU appliance at a site? / Are there products currently outside it?,"Names the platform, its consumers and the interface they call",,,,,
QAI0136,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L2 Mid,Month 1,Mechanism,What has to happen before an embedding-model change can be cut over on a live index?,Swapping an embedding model without re-indexing silently degrades recall across every corpus at once.,"Master Checklist v3 (AIA-01.1.06, AIA-03.2.03)",Partially documented,AIA-03.2.03 embedding-model change workflow,-,How long is the old index retained? / Who verifies the new index?,"Names the full re-index, the verification query set, the cutover gate and the rollback",,,,,
QAI0139,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L3 Senior,Quarter 1,Performance/Scale,What is the GPU sizing basis for a 500-learner enclave at exam-period peak?,"The appliance is unsized while enclave AI features are already committed, and GPU lead time is two quarters.",Architecture Review Report SS Q.3.1 (all numbers provisional); Master Checklist v3 (AIA-02.1.06),Undocumented — no answer exists,AIA-02.1.06 GPU sizing memo,-,What tokens per second was measured? / On which model and quantisation?,"Gives the concurrency model, the measured throughput, the node count and the headroom rule",,,,,
QAI0145,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L4 Architect,Quarter 1,Trade-off,Why a vLLM-class serving stack rather than per-module Ollama instances?,Per-module serving makes admission control impossible and multiplies the model-approval surface in every accredited enclave.,Architecture Review Report DEC-002; Master Checklist v3 (AIA-03.1.01),Documented,DEC-002 local AI serving architecture,-,Where is Ollama still acceptable? / What does a shared queue cost in isolation?,"Argues shared queue, one capacity model and one accreditation surface against operational simplicity",,,,,
QCV0105,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L1,Week 1,Orientation,What is the SVC service designation and why is E04's forty-nine items of work mapped to it?,"SVC is not audited as a unit in the architecture review, so a newcomer cannot tell which design document governs their work.",Architecture Review Report §D; Coverage Cross-Check §F,Partially documented,E04 architecture dimension,-,Which other products map to SVC? / What would an SVC audit cover? / Who owns the designation?,"Explains the designation, why it exists and what is consequently unreviewed",,,,,
QCV0107,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L3,Month 1,Governance/Process,"Who owns the CI release gate produced by E04's evaluation harness, given the harness is registered as a build item and not a test asset?",A release gate with no owning test team can be bypassed by the team it is meant to constrain.,Coverage Cross-Check §C2 card 32; Master Checklist v3 (AIA-01.1.05),Undocumented — no answer exists,E04 test coverage dimension; model release gates,-,Who can waive the gate? / Where are results published? / What is the gate threshold per language?,"Names the owning team, the waiver authority and where the gate result is recorded",,,,,
QCV0109,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L4,Quarter 1,Standards,What would a design note for the inference service need to contain to be audited to the same standard as the review's Section D?,A design note that does not meet the audit standard leaves the seven post-review products in the same unreviewed position.,Architecture Review Report §D; Platform Architect,Undocumented — no answer exists,Wave 2 architecture gap closure,-,What sections are mandatory? / Who audits it? / What is the turnaround?,"Lists the required sections including gaps, risks and exit criteria, and names the auditor",,,,,
QCV0113,E04,Shared Local AI Inference Platform,AI,AI/ML Engineer,L3,Quarter 1,Emergent,"Once the SVC designation is audited, which E04 items would you expect the review to challenge first?",Anticipating the challenges lets the team fix the design before the review rather than after build has committed to it.,Platform Architect; Architecture Review Report §D,Undocumented — no answer exists,E04 design stability,QCV0105,Which items assume connectivity? / Which assume a single tenant? / Which assume GPU availability?,Names the two or three items most exposed to a review challenge with the assumption each rests on,,,,,
QAI0129,E04,Shared Local AI Inference Platform,AIG,AI Generalist,L1 Junior,Day 1,Orientation,What are the three priority classes on the shared inference service and which one wins under saturation?,A module that requests the wrong class will either starve exam grading or have its own work silently preempted.,Master Checklist v3 (AIA-01.1.03),Documented,AIA-03.1.03 admission control implementation,-,What are the queue bounds? / What does a preempted caller see?,"Names grading, chat and batch in order with the bounded-queue rule",,,,,
QAI0134,E04,Shared Local AI Inference Platform,AIG,AI Generalist,L2 Mid,Month 1,Mechanism,What are the three degraded modes and at what thresholds does each engage?,Degradation improvised at runtime means graded work gets dropped instead of deferred during an exam.,"Master Checklist v3 (AIA-01.1.04, AIA-03.1.05)",Partially documented,AIA-03.1.05 degraded modes implementation,-,Are the thresholds numeric? / How does each disengage on recovery?,"Names smaller-model fallback, retrieval-only, and deferred grading with their triggers",,,,,
QAI0150,E04,Shared Local AI Inference Platform,AIG,AI Generalist,L3 Senior,Quarter 1,Emergent,"If retrieval-only mode engages during an exam, does the learner know the answer they got is a degraded one?",A silently degraded answer looks like a normal answer and gets acted on with the same confidence.,Master Checklist v3 (AIA-01.1.04) requires a user-visible behaviour statement,Partially documented,AIA-03.1.05 degraded modes,QAI0134,Is the degraded answer marked in the audit record? / Does it count for evaluation drift?,Names the user-visible marker and the audit field that records the mode,,,,,
QTU0086,E04,Shared Local AI Inference Platform,AIG,AI Generalist,L4 Architect,Quarter 1,Trade-off,How much product capability is it acceptable to give up so that every deployment class runs the same enclave-capable local model?,Uniformity keeps one set of evaluation results and one support story; divergence gives connected customers a better product and leaves enclave customers with a quietly worse one they were not told about.,Architecture Review Report §C.3; §Q,Undocumented — no answer exists,AIA-02.x model approval and registry,-,What capability gap exists today between the local and hosted options? / Would a customer be told which they are getting? / Who owns this decision?,Quantifies the capability given up and names who is told about the difference,,,,,
QTU0089,E04,Shared Local AI Inference Platform,AIG,AI Generalist,L4 Architect,Quarter 1,Trade-off,"Should EdVidura standardise on one model family everywhere, or allow a stronger hosted model where connectivity exists?","Two model families mean two evaluation suites, two prompt sets and two answer behaviours to explain to a customer who has both deployment classes.",Architecture Review Report §C.3; AI/ML Lead,Undocumented — no answer exists,AIA-02.x model approval and registry,-,What is the evaluation cost per additional family? / Would prompts port between them? / Which customers would actually notice?,Weighs evaluation and support duplication against the capability the second family buys,,,,,
QAI0132,E04,Shared Local AI Inference Platform,BE,Back-End Developer,L1 Junior,Week 1,Interface/Contract,Which fields are mandatory on every inference API call?,A call without tenant context is an anonymous inference path and a tenant-isolation hole.,"Master Checklist v3 (AIA-01.1.01, AIA-05.1.01)",Documented,AIA-05.1.01 tenant context enforcement,-,What happens to a tenant-less request? / Is the denial audited?,"Lists tenant ID, command ID, priority class, pinned model reference and correlation ID",,,,,
QAI0151,E04,Shared Local AI Inference Platform,DE,Data Engineer,L3 Senior,Quarter 1,Emergent,"After an embedding-model change, how do we know which stored citations still point at valid chunks?","Re-embedding changes chunk identity, so historical answer records can lose their evidential link silently.",None - undocumented; Platform Architect,Undocumented — no answer exists,AIA-09.1.02 chunk lineage registration,QAI0136,Are chunk IDs stable across re-index? / Is the old index retained for audit?,States chunk identity stability and the audit retention rule,,,,,
QAI0131,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L1 Junior,Week 1,Data,What does the model registry record about a model beyond its name?,A model activated without a weights hash and licence record cannot be admitted to an accredited enclave.,"Master Checklist v3 (AIA-01.1.02, AIA-03.1.02)",Documented,AIA-03.1.02 weights-hash verification at load,-,What happens on a hash mismatch? / Who grants per-deployment approval?,"Lists model ID, weights hash, quantisation, licence, provenance and approval status",,,,,
